1,4,3,2,2,3,1,0,2,0,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,1,5,0,1,1,4,0,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,1,2,6,1,1,1,0,2,2,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,1,4,2,1,1,2,0,1,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,0,0,1,1,1,0,0,1,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,3,1,0,1,2,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,3,2,0,2,2,2,4,3,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,1,1,1,0,0,0,0,1,0,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,1,2,1,0,1,1,2,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,7,1,2,1,1,1,0,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,2,2,2,1,0,1,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,7,4,3,3,1,0,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,0,0,0,1,0,1,1,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,1,0,1,1,0,0,1,1,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,8,6,2,2,3,0,2,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,3,2,2,3,5,4,3,0,1,0,2,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,0,1,0,0,3,0,1,2,2,0,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,1,0,0,1,1,0,2,0,0,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,0,1,1,1,0,2,0,0,0,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,1,4,1,1,0,1,3,3,1,3,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,2,0,2,1,3,0,1,1,0,0,1,2,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,1,1,1,1,1,0,0,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,0,0,1,1,0,1,3,1,1,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,1,1,1,1,0,0,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,3,1,0,1,2,0,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,0,1,0,1,0,1,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,3,4,1,0,1,2,2,1,2,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,0,2,0,1,1,1,0,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
